prov,postal,latitude,longitude
Aceh,AC,4.41533000000,96.99560000000
Sumatera Utara,SU,2.36304000000,99.21610000000
Sumatera Barat,SB,-0.64261100000,100.61100000000
Riau,RI,0.39689200000,101.74500000000
Jambi,JA,-1.65497000000,102.82300000000
Sumatera Selatan,SL,-3.38240000000,104.07300000000
Bengkulu,BE,-3.48606000000,102.36800000000
Lampung,LA,-4.91900000000,105.05900000000
Bangka-Belitung,BB,-2.95817000000,106.81900000000
Kepulauan Riau,KR,-0.14263900000,104.60100000000
DKI Jakarta,JK,-6.22462000000,106.83700000000
Jawa Barat,JR,-6.90763000000,107.63800000000
Jawa Tengah,JT,-7.29010000000,109.89600000000
Daerah Istimewa Yogyakarta,YO,-7.83533000000,110.44300000000
Jawa Timur,JI,-7.88129000000,112.61600000000
Banten,BT,-6.25794000000,106.16700000000
Bali,BA,-8.34120000000,115.17900000000
Nusa Tenggara Barat,NB,-8.57106000000,116.29400000000
Nusa Tenggara Timur,NT,-8.58443000000,120.68900000000
Kalimantan Barat,KB,-0.06364740000,111.30400000000
Kalimantan Tengah,KT,-1.84217000000,113.28600000000
Kalimantan Selatan,KS,-3.00713000000,115.45100000000
Kalimantan Timur,KI,1.28915000000,116.35400000000
Kalimantan Utara,KU,3.07309300000,116.04138900000
Sulawesi Utara,SW,0.85303900000,124.44600000000
Sulawesi Tengah,ST,-1.30097000000,120.15300000000
Sulawesi Selatan,SE,-3.74440000000,119.99000000000
Sulawesi Tenggara,SG,-4.07460000000,122.11900000000
Gorontalo,GO,0.76050100000,122.33100000000
Sulawesi Barat,SR,-2.69615000000,119.31600000000
Maluku,MA,-8.24814000000,128.16100000000
Maluku Utara,LA,-2.28945000000,125.97600000000
Papua Barat,IB,-1.32525000000,132.82500000000
Papua,PA,-4.10825000000,138.68900000000
